Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
680	271.3	680	-268.728		
681	275.758	681	-272.157		
682	280.731	682	-276.444		
683	285.017	683	-281.588		
684	287.59	684	-283.303		
685	294.448	685	-290.162		
686	297.878	686	-293.591		
687	303.879	687	-297.878		
688	303.879	688	-299.421		
689	312.453	689	-308.166		
690	316.739	690	-311.767		
691	321.026	691	-315.882		
692	326.17	692	-321.198		
693	330.457	693	-325.313		
694	334.744	694	-329.6		
695	338.173	695	-333.201		
696	344.175	696	-338.516		
697	349.319	697	-342.46		
698	353.606	698	-346.747		
699	361.35	699	-351.034		
700	367.523	700	-354.491		
701	371.638	701	-358.778		
702	375.925	702	-363.922		
703	381.069	703	-367.18		
704	386.042	704	-372.667		
705	390.671	705	-377.468		
706	395.644	706	-381.926		
707	400.96	707	-386.213		
708	404.903	708	-391.357		
709	409.362	709	-395.644		
710	415.363	710	-400.788		
711	418.793	711	-405.075		
712	423.079	712	-409.362		
713	429.938	713	-415.192		
714	435.082	714	-419.65		
715	438.683	715	-424.794		
716	443.656	716	-429.938		
717	449.486	717	-434.053		
718	453.944	718	-438.683		
719	457.202	719	-441.941		
720	463.375	720	-447.943		
721	467.662	721	-453.087		
722	471.262	722	-457.03		
723	477.778	723	-463.375		
724	483.094	724	-468.519		
725	486.523	725	-471.948		
726	491.496	726	-475.378		
727	495.097	727	-479.665		
728	499.384	728	-483.951		
729	504.528	729	-489.095		
730	510.529	730	-495.097		
731	516.702	731	-499.384		
732	520.817	732	-503.67		
733	525.79	733	-508.814		
734	530.248	734	-513.101		
735	538.164	735	-516.531		
736	542.279	736	-520.817		
737	547.424	737	-525.276		
738	551.71	738	-530.248		
739	556.854	739	-533.534		
740	560.284	740	-537.307		
741	564.571	741	-541.422		
742	568.857	742	-545.709		
743	574.001	743	-549.996		
744	578.46	744	-554.454		
745	583.432	745	-558.398		
746	586.862	746	-562.684		
747	592.006	747	-567.143		
748	597.15	748	-571.429		
749	601.437	749	-575.716		
750	606.409	750	-580.86		
751	610.696	751	-585.318		
752	615.154	752	-589.605		
753	619.441	753	-593.72		
754	624.585	754	-598.007		
755	628.015	755	-602.294		
756	633.159	756	-607.438		
757	637.445	757	-611.725		
758	641.046	758	-615.154		
759	646.19	759	-620.298		
760	650.992	760	-624.414		
761	654.592	761	-628.872		
762	659.908	762	-633.159		
763	665.052	763	-637.445		
764	669.339	764	-642.59		
765	671.568	765	-646.19		
766	677.741	766	-650.477		
767	682.885	767	-655.45		
768	686.143	768	-659.737		
769	690.258	769	-663.166		
770	695.745	770	-667.281		
771	700.889	771	-673.454		
772	705.176	772	-677.741		
773	709.463	773	-681.17		
774	717.207	774	-686.314		
775	722.351	775	-689.744		
776	725.781	776	-693.173		
777	730.925	777	-699.175		
778	735.212	778	-701.747		
779	740.356	779	-706.891		
780	744.471	780	-709.491		
781	749.615	781	-715.664		
782	754.931	782	-720.637		
783	759.218	783	-724.238		
784	767.963	784	-731.954		
785	772.078	785	-736.069		
786	775.679	786	-740.356		
787	780.651	787	-744.643		
788	785.795	788	-749.787		
789	790.94	789	-753.216		
790	795.226	790	-758.36		
791	800.37	791	-763.504		
792	804.486	792	-768.648		
793	808.944	793	-772.078		
794	815.803	794	-778.937		
795	820.09	795	-783.223		
796	823.519	796	-787.51		
797	825.919	797	-788.71		
798	835.35	798	-797.627		
799	838.951	799	-802.942		
800	841.523	800	-805.515		
801	848.211	801	-812.373		
802	852.669	802	-815.803		
803	856.956	803	-820.09		
804	862.957	804	-826.262		
805	867.244	805	-830.378		
806	873.245	806	-834.664		
807	877.532	807	-839.809		
808	882.676	808	-843.238		
809	887.82	809	-847.525		
810	892.993	810	-850.954		
811	899.68	811	-856.956		
812	904.138	812	-861.414		
813	908.425	813	-865.529		
814	911.854	814	-868.959		
815	918.885	815	-874.617		
816	923	816	-880.104		
817	926.429	817	-882.333		
818	933.288	818	-886.991		
819	936.718	819	-891.278		
820	941.004	820	-895.565		
821	945.291	821	-900.023		
822	950.435	822	-904.138		
823	954.722	823	-908.425		
824	958.323	824	-912.712		
825	960.552	825	-914.255		
826	967.582	826	-920.256		
827	972.898	827	-924.715		
828	976.156	828	-928.83		
829	981.3	829	-935.174		
830	985.587	830	-939.29		
831	990.731	831	-942.719		
832	993.989	832	-946.32		
833	999.647	833	-952.15		
834	1003.59	834	-957.294		
835	1007.88	835	-960.552		
836	1011.48	836	-963.981		
837	1016.45	837	-969.297		
838	1020.74	838	-972.726		
839	1025.02	839	-977.013		
840	1029.31	840	-982.157		
841	1033.77	841	-985.244		
842	1038.74	842	-991.417		
843	1043.89	843	-995.017		
